,acc,loss,lr,test accuracy,test loss,val_acc,val_loss
0,0.6153846153846154,0.7039875780733732,9.999999747378752e-05,0.74,0.543154970407486,0.725,0.5973348237574101
1,0.6410256410256411,0.6869423218214741,9.999999747378752e-05,0.88,0.38715401783585546,0.825,0.5324596613645554
2,0.6442307692307693,0.6590900865789407,9.999999747378752e-05,0.82,0.3594546498171985,0.75,0.5071514111012221
3,0.7051282051282052,0.6243903655081223,9.999999747378752e-05,0.8,0.39604503780603406,0.8,0.4725066116079688
4,0.7115384615384616,0.6089017940923954,9.999999747378752e-05,0.86,0.3714778922870755,0.75,0.5206363730132579
5,0.6955128205128205,0.6010543434188153,9.999999747378752e-05,0.9,0.30731326957058624,0.925,0.3261756956577301
6,0.6794871794871795,0.5935524802965423,9.999999747378752e-05,0.82,0.36681083860981745,0.825,0.4411558711901307
7,0.7403846153846154,0.5631745435440769,9.999999747378752e-05,0.8,0.3168901742431626,0.725,0.5464424151927233
8,0.7435897435897436,0.5556985907590924,9.999999747378752e-05,0.78,0.5279765690818021,0.675,1.1397417853208025
9,0.7243589743589743,0.5589170948697779,9.999999747378752e-05,0.92,0.2253295890055597,0.825,0.334544581733644
10,0.6538461538461539,0.6243392573908354,9.999999747378752e-05,0.84,0.3381636653025635,0.825,0.4477896451950073
11,0.7435897435897436,0.5190218183904504,4.999999873689376e-05,0.88,0.28169388072467655,0.85,0.368922227807343
12,0.7628205128205128,0.509199502113729,4.999999873689376e-05,0.86,0.38195332580736246,0.625,0.5657830887008458
13,0.8012820512820513,0.44300355710751876,4.999999873689376e-05,0.84,0.3403030275062159,0.8,0.5642439979623305
14,0.7596153846153846,0.4715807143276414,4.999999873689376e-05,0.84,0.30886200551902876,0.825,0.4265915058553219
15,0.7980769230769231,0.44622543029403555,4.999999873689376e-05,0.86,0.41074035389272895,0.85,0.3979616748788203
16,0.7660256410256411,0.4669350335696855,2.499999936844688e-05,0.9,0.3173244527891046,0.75,0.9147557567572221
17,0.7628205128205128,0.44687916026808894,2.499999936844688e-05,0.92,0.28970112764279465,0.85,0.6827180323190987
18,0.8205128205128205,0.4023574453193503,2.499999936844688e-05,0.82,0.3028110137660221,0.7,1.0741228700615466
19,0.7980769230769231,0.3919905330746984,2.499999936844688e-05,0.92,0.22044710259598616,0.725,1.149793932889588
20,0.8108974358974359,0.39505125439684025,2.499999936844688e-05,0.86,0.34080726272883255,0.725,0.7569769555469975
